,Unnamed: 0,data,sentiment
129,142,cán bộ này làm kinh tế giỏi thế mà không đề bạt chuyên gia kinh tế của cp nhỉ,negative
130,143,dân nhìn vào đây mà tin trọn đời  còn máu cứ hút thoải mái đi  đến lúc khát nước thì uống,negative
131,144,quan chức cấp càng cao nhân cách càng thấp thì lại giàu càng nhanh,negative
132,145,chắc dòng họ nay toàn rô bốt,negative
133,146,mả tổ mày nói láo  bố mày còn đéo chắc đưa tiền mày đi gửi hộ  huống hồ anh em  tổ cha 1 lũ sâu bọ,negative
134,147,chế độ tham tham toàn tham nhũng nhũng toàn nhũng,negative
135,148,ai điều tra  đưa ra ánh sáng những con sâu to  trả lại sự công bằng cho cả thế hệ trẻ mai sau,negative
136,149,ô kìa kìa thày tớ trúng vietlot bên camoroon mà,negative
137,150,ông này có uy tín với cả dòng họ thiệt em nhể,positive
138,151,đơn giản bảo họ hàng kê khai số tiền gửi là biết ngay đừng nghĩ là hạ cánh an toàn nhé,negative
139,152,giờ có thằng em vợ ất ơ nhảy vào đòi tiền thì sao nhỉ,negative
140,153,cong san noi lao khong nguong mieng,negative
141,154,con chó cũng cúp đuôi chạy kg nghe dc,negative
142,155,tao cứ việc nói tin hay k thì kệ chúng mày lm gì được tao,negative
143,156,ông này nhớ nhầm rồi ,negative
144,157,họ hàng đòi thì ông nói gì đây,negative
145,158,làm sao lại nói đúng thế,negative
146,159,mặt kia lấy đâu ra đức,negative
147,160,cả họ chỉ có mỗi một thằng khôn,negative
148,161,hồng thanh kkkk thì đúng thật 1 thằng làm quan cả họ đc nhờ,negative
149,164,giết luôn thằng này đi đồng tiền đó bẩn thửu,negative
150,165,đừng nghe lời quảng cáo lời hứa hẹn của người bán và môi giới mà nhắm mắt mua nhà ở xã hội khi chưa đủ 5 năm vì khi đó tiền mất chẳng có nhà mà tật lại mang,negative
151,166,600 cột điện bị bão “đốn gãy” chỉ trong 30 phút quả là kỷ lục nhưng dân chẳng biết ai sẽ chịu trách nhiệm không lẽ lại là ông trời,negative
152,167,người sản xuất ra nó  cột đèn mà biết trối trăng thì ối thằng chết ,negative
153,168,phải chăng nguồn tin tiết lộ cho pv rằng “các dấu hiệu sinh tồn của trump trong 24 giờ qua rất đáng lo ngại và 48 giờ tới sẽ rất quan trọng” là sự thật god bless trump,negative
154,169,một góc nhìn khác về đòn thuế quan của trump nhận định từ cục dự trữ liên bang mỹ fed,negative
155,170,thuế quan qua lại nhau nhưng tàu thì chết chắc vì các cty chạy ra khỏi đất nước khiến nạn thất nghiệp kéo dài,negative
156,171,mỗi báo nói một kiểu của mình không tin được,negative
157,172,dám đề xuất bán 1 lúc 4 dự án điện khủng cho nước ngoài ngay khu vực biên giới thì đúng là rước giặc về nhà giao đất cho sói canh cửa,negative
158,173,tốt quá  ngày càng moi dc nhiều sai phạm khiến đất nước kiệt quệ,negative
159,174,cùng với tuyên bố trump đã có hành động bất ngờ chứng minh cho điều này,positive
160,175,không gì có thể ngăn cản ông ấy làm việc vì người mỹ cô con gái rượu ivanka trump chia sẻ trên twitter cá nhân ngày 4-10 kèm tấm hình ông trump đang làm việc trong bệnh viện,negative
161,176,nước mỹ hơn 200 năm dựng quốc chưa bao giờ gặp sự cố này không biết sẽ thế nào,negative
162,177,everything is ok for him  don't worry about something we don't need to worry about  we need to worry about something important ,positive
163,178,“chum” nhiều chiêu và rất khó lường,negative
164,179,quả nhiên thương thật thương tặng bình hút tài lộc cho đại biểu thì chuẩn rồi,positive
165,180,thôi xong theo hướng dẫn chính sách mới của cơ quan nhập cảnh và di trú hoa kỳ các đảng viên đảng cộng sản hiện sẽ không đủ điều kiện để nhập cư vào hoa kỳ hướng dẫn bao gồm đảng cộng sản từ bất kỳ quốc gia nước ngoài nào hoặc bất kỳ phân khu chính trị hoặc địa lý nào của bất kỳ quốc gia nước ngoài nào hướng dẫn bao gồm việc miễn trừ tư cách thành viên không tự nguyện chẳng hạn như khi ai đó gia nhập đảng vì việc làm khẩu phần ăn hoặc các nhu cầu thiết yếu khác cho cuộc sống trong trường hợp của đảng cộng sản trung quốc tham gia để nâng cao cơ hội việc làm của một người là một thực tế https://t.co/7hjwr4rslf theo https://t.co/whsf50vyrf,negative
166,181,trung thành với đảng mà khóc làm gì  không mỹ thì quốc tịch síp vậy,negative
167,182,campuchia lại phá cơ sở do mỹ xây tại quân cảng chiến lược mở đường cho tq hất cẳng mỹ khỏi căn cứ quân sự sát sườn vn,negative
168,183,thể trạng của tổng thống trump cũng gây nhiều nguy cơ khi nhiễm covid-19 ông được cho là nằm trong nhóm có nguy cơ gặp biến chứng nặng khi nhiễm covid-19 vì độ tuổi giới tính và cân nặng,negative
169,184,chuyện gì đã xảy ra vì sao mỹ đột ngột khởi động tổng hành dinh chỉ huy hạm đội tàu ngầm tên lửa chuyên dùng trong trường hợp xảy ra chiến tranh hạt nhân,negative
170,185,chấn động tiến sĩ lương không nhớ không có tiền,negative
171,186,có thế lực thù địch đã chuyển tiền vào tài khoản để vu khống ông  sao ta không bắt cái thằng chuyển tiền và tịch thu số tiền của bọn phản động này,negative
172,187,xé tem nhiều vụ dc bóc phốt đưa ra ánh sáng ntn là vui rồi,negative
173,188,giáo sư trần văn thuấn  thứ trưởng bộ y tế là giám đốc bệnh viện k từ 2016 05/2020 nếu có tiêu cực trong chuyện này thứ trưởng bộ y tế sẽ trả lời ra sao,negative
174,189,tiền để mua chức huân chương và huy chương,negative
175,190,lấy đất rừng xây chùa xây biệt phủ xây khu du lịch là thứ “cháy không khói” vô cùng kh.ốn n.ạn tuy cũng có kẻ phải “vào lò” nhưng thử nghĩ xem nhưng khoảng xanh bị cháy có được phục hồi hay không hai bức ảnh này có thể nói lên về việc “cháy niềm tin” không nhỉ,negative
176,191,làm gì được khi có bệ đỡ  bao che và thông đồng ,negative
177,192,dùng từ cháy hay quá,negative
178,193,vì sao bộ công an lại đề nghị thay đổi biện pháp ngăn chặn với cựu chủ tịch chung,negative
179,194,vì sao lại tạm đình chỉ trách nhiệm liên quan của các cán bộ công an là gì nếu không có bảo kê nhắm mắt cho qua liệu sới bạc có phát triển khủng được không ủng hộ làm mạnh vụ này,negative
180,195,khởi tố hình sự luôn rồi xúc phạm nghiêm trọng nhân phẩm danh dự của người khác,negative
181,196,bắt chán rồi mới khởi tố à,negative
182,197,lúc mời mua bảo hiểm thì nói hay lắm tai nạn chết ngươi xảy ra thì thoái thác tìm đủ cách thoái thác nhưng những lý do pjico đưa ra điểm nào cũng sai luật,negative
183,198,thực tế bảo hiểm chỉ là hình thức thôi còn chờ được vạ thì ván đã đóng,negative
184,199,ở hàn quốc thì hãng đưa biên bản thỏa thuận về chi phí khách sạn và các chi phí khác giá dự kiến 100/người/đêm vậy mà vừa xuống sân bay lại lật kèo nâng giá phòng khách sạn thì hỏi sao người ta không phản đối tận 14 ngày chứ đâu ít,negative
185,200,trên thế giới chẳng nước nào dũng cảm như việt nam tôi  có lẽ trên thế giới chẳng mấy quốc gia có lịch sử kháng chiến trường kỳ và hào hùng như ở việt nam ta suốt chiều dài lịch sử hơn 4000 năm chúng ta đã trải qua không biết bao nhiêu trận chiến thù trong giặc ngoài nhưng không một thế lực nào có thể ngẩng cao đầu mà rút khỏi việt nam ngoài sự lãnh đạo tài ba của những danh nhân kiệt xuất thì đó còn là thành công của việc lấy dân làm gốc được truyền từ đời này sa,negative
186,201,liên tiếp tin xấu dồn về át chủ bài tranh cử của trump cũng chính thức tiêu tan dường như khó khăn hơn cho trump nếu muốn bước vào nhà trắng,negative
187,202,tức là trump trực tiếp cảm nhận dc virus này nó ntn  và đòn giáng vào tàu khựa sắp tới sẽ là đòn kết liễu  như vậy trump sẽ dc lòng dân hơn tiếp cận chiến thắng hơn trong bầu cử,negative
188,203,neu dang d c thang cu coi nhu trung quoc khong can chien cung thang my,negative
189,204,thôi xong nước mỹ sẽ ra sao đây,negative
190,205,trung cộng nên lo chứ nước mỹ thì chẳng sao đâu,negative
191,206,quảng ngãi là một tỉnh nghèo năm nào cũng xin gạo cứu đói ngân sách rót xuống để hỗ trợ người dân vậy mà một trường tiểu học miền núi lại xây hẳn 3 nhà vệ sinh trị giá 2 tỷ đồng chắc xây nhà vệ sinh kiêm biệt thự 5 sao cho học sinh hay gì,negative
192,207, cut con khong tha huong chi nuoc tieu,negative
193,208,tham nhũng quá nhiều thực tế liệu có hêt 200 không,negative
194,209,thì mấy thằng dốt lên lãnh đạo phải chịu thôi trách móc ai hả các bác,negative
195,210,chúng nó đớp cả cứt của các cháu,negative
196,211,vấn đề là xin vô lý nhưng vẫn đc duyệt hahahah,positive
197,212,nhà vs đẳng cấp 10 sao,positive
198,213,"thầy rất giàu trò thế nào chỉ riêng tại oceanbank chi nhánh hải phòng giáo sư tiến sĩ nhà giáo nhân dân bí thư đảng ủy lương công nhớ  người thầy xuất sắc của nhiều tiến sĩ ngụ tại số 1b4 lô 26 bc lê hồng phong quận ngô quyền cùng vợ và con đã gửi gần 100 tỷ đồng và gần 2.000.000 đô la cụ thể  ttk oc0097xxx lương công nhớ ngày 9/9/2016 10 tỷ  ttk oc0097xxx lương công nhớ ngày 9/9/2016 10 tỷ  từ 9/2016  8/2017 bà nguyễn thị quỳnh khôi gửi 32,6 tỷ  bà khôi gửi 730.000 đô la  chàng trai lương phú khánh đang ở nước ngoài được mẹ là bà khôi đến oceanbank ký khống 6 sổ gửi 15,2 tỷ và 590.000 đô la bà khôi thỏa thuận với sếpngân hàng để bà ký thay toàn bộ đăng ký mẫu chữ ký khánh bằng chữ bà khôi  cô gái lương thị hồng nhung cũng được bà khôi đến ngân hàng mở 3 sổ gửi 15,7 tỷ và 400.000 đô la chàng trai và cô gái khánh  nhung đều ở nước ngoài đi học ở nhà cha mẹ quá nhiều tiền nên thoải mái giả mạo chữ ký được ngân hàng hỗ trợ hết mình để đưa tiền như vậy chưa tính lãi chỉ riêng tại chi nhánh oceanbank hải phòng vợ chồng giáo sư tiến sĩ nhà giáo nhân dân bí thư đảng ủy lương công nhớ gửi 84 tỷ hơn 1,7 triệu đô la trước đó lãnh đạo bộ gtvt kết luận về sai phạm xảy ra trong giai đoạn những năm 2015 đến 2017 thời kỳ ông lương công nhớ làm hiệu trưởng và yêu cầu bồi thường số tiền hàng trăm tỷ vào tài khoản niêm phong hiện ông lương công nhớ nguyên hiệu trưởng trường đại học hàng hải đã chính thức về hưu hôm nay chỉ thế thôi nhân dịp ảnh một căn nhà giáo sư tiến sĩ nhà giáo nhân dân bí thư đảng ủy lương công nhớ hay ở fb trương danh hữu châu",negative
199,214,tài cao  ông nhớ đi trên quan lộ đúng quy trình của cơ chế  ko giầu mới lạ  rất nhiều người  ko chỉ riêng cb trường đhhh hp  cũng đi như thế  cũng giầu nhờ hối lộ  tham nhũng  cái qui trình đó tạo cho người ta tham nhũng  chỉ có những người nằm trong “ lò luyện kim đan “ mới ko giầu  hoặc cũng có người “ kém cỏi “mới nghèo ,negative
200,215,thầy năng động nắm bắt cơ hội kịp thời đào tạo sản xuất cho ra lò hàng loạt tiến sĩ tiền sao không giàu,negative
201,216,nói xấu lãnh đạo là chôm chôm nhá,negative
202,217,lại một con đỉa hút máu sinh viên,negative
203,218,nhờ tàu bè buôn chổiai làm gì được đâu giầu bất chính tài sản bất minh của quan chức qh có nói gì đâu thoải mái đi gửi nhà băng nước ngoài du học mua nhà ,negative
204,219,mẹ làm ở vks ông là đại úy quân đội về hưu đụng đến gia đình gộc rồi anh gì ơi,negative
205,220,tình cao xuân chắc tạp vụ trong quân đội  đặt cái tít nghe ngứa vãi,negative
206,221,"lam sơn đặng mặc quân phục,nhưng mũ lại không có sao.chắc mới mua hqua ở chợ cốc lếu",negative
207,222,có vẻ ng mẹ làm vks muốn tuyên án tử hình ng đánh con mình hay sao ấy nhỉ,positive
208,223,định lấy thịt đè người chăng,negative
209,224,chết mịa mày òy thằng tâm thần kỳ này bị nhốt vào trại thần kinh thật rồi ,negative
210,225,nói chung là đen cho nhà trường và hai gia đình,negative
211,226,có chức có quyền có tất cả,negative
212,228,xin lỗi mà được sao liệu có ai chấp nhận dung thứ,negative
213,229,chuyen con nit voi nhau ma xu su nhu vay thi cung nhu loai thu vat,negative
